"Country";"value_2010";"value_2011";"value_2012";"value_2013";"value_2014";"value_2015";"value_2016";"value_2017";"value_2018";"value_2019";"value_2020";"value_2021"
"Colombia";0.74974;0.74824;0.74691;0.74579;0.74468;0.74348;0.74228;0.74125;0.74002;0.73903;0.73744;0.73652
"Comoros";0.7914;0.78632;0.78298;0.77741;0.77405;0.77148;0.76494;0.76103;0.75664;0.75097;0.74818;0.74387
"Congo";0.96604;0.96589;0.96598;0.96608;0.96599;0.96603;0.96589;0.96588;0.96585;0.9658;0.96574;0.96573
"Cook Islands";0.79659;0.79457;0.79265;0.78937;0.78757;0.78514;0.78302;0.78014;0.77693;0.7744;0.77266;0.77127
"Cook Islands";0.79659;0.79457;0.79265;0.78937;0.78757;0.78514;0.78302;0.78014;0.77693;0.7744;0.77266;0.77127
"Costa Rica";0.82896;0.82768;0.8253;0.82427;0.82257;0.82112;0.81964;0.81759;0.81601;0.81484;0.81357;0.81209
"Côte d'Ivoire";0.90148;0.90158;0.90132;0.90127;0.90131;0.90132;0.90123;0.90129;0.90124;0.90129;0.90121;0.90124
"Croatia";0.89587;0.89585;0.89583;0.89581;0.89576;0.89575;0.89566;0.89564;0.89563;0.89558;0.89554;0.89552
"Cuba";0.67449;0.673;0.67193;0.67081;0.66985;0.6687;0.66742;0.66626;0.66535;0.66385;0.66272;0.662
"Curaçao";0.86552;0.86443;0.86328;0.86236;0.86048;0.85952;0.85832;0.85698;0.85563;0.85391;0.85341;0.85249
"Cyprus";0.9929;0.9929;0.99288;0.99275;0.99258;0.9924;0.99221;0.99205;0.99186;0.99169;0.99152;0.99142
"Czechia";0.9696;0.96968;0.96978;0.96991;0.97002;0.97014;0.97025;0.97036;0.97044;0.97054;0.97063;0.97076
"Democratic People's Republic of Korea";0.92988;0.92919;0.92831;0.9274;0.92692;0.92623;0.92496;0.92418;0.92347;0.92291;0.9221;0.92129
"Democratic Republic of the Congo";0.88105;0.88114;0.881;0.88089;0.88085;0.88082;0.88077;0.88069;0.88069;0.88059;0.88064;0.88055
"Denmark";0.97563;0.97561;0.97539;0.97518;0.97468;0.9741;0.97407;0.97396;0.97392;0.97395;0.97401;0.97406
"Djibouti";0.83492;0.83189;0.82956;0.82641;0.82419;0.82121;0.8189;0.81495;0.81362;0.80965;0.80742;0.80492
"Dominica";0.68515;0.68347;0.68133;0.67906;0.67675;0.67458;0.67277;0.66967;0.6678;0.66576;0.66387;0.66173
"Dominican Republic";0.74699;0.74579;0.74362;0.74243;0.74101;0.7386;0.73756;0.73621;0.73455;0.73287;0.73172;0.73016
"Ecuador";0.72476;0.72058;0.71574;0.71116;0.70649;0.70112;0.69641;0.69157;0.68725;0.68353;0.67837;0.67358
"Egypt";0.93673;0.93409;0.93195;0.92951;0.92689;0.92401;0.92186;0.91948;0.91785;0.91571;0.91327;0.91052
"El Salvador";0.82101;0.81958;0.81798;0.81617;0.81524;0.81359;0.81212;0.8109;0.80933;0.80802;0.80599;0.80484
